number,title,link,source_id,published_at,state,transcript_source,discovered_at
1,1. Sendung vom 25.7.2010,https://alternativlos.cdn.as250.net/alternativlos-1.mp3,1000670184711,2010-07-25T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
2,2. Sendung vom 5.8.2010,https://alternativlos.cdn.as250.net/alternativlos-2.mp3,1000670184694,2010-08-04T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
3,3. Sendung vom 28.8.2010,https://alternativlos.cdn.as250.net/alternativlos-3.mp3,1000670184775,2010-08-28T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
4,4. Sendung vom 19.9.2010,https://alternativlos.cdn.as250.net/alternativlos-4.mp3,1000670184659,2010-09-19T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
5,5. Sendung vom 26.9.2010,https://alternativlos.cdn.as250.net/alternativlos-5.mp3,1000670184854,2010-09-26T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
6,6. Sendung vom 9.10.2010,https://alternativlos.cdn.as250.net/alternativlos-6.mp3,1000670184825,2010-10-09T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
7,7. Sendung vom 27.10.2010,https://alternativlos.cdn.as250.net/alternativlos-7.mp3,1000670184710,2010-10-27T23:00:00Z,done,apple,2026-06-16T10:35:17+00:00
8,8. Sendung vom 5.11.2010,https://alternativlos.cdn.as250.net/alternativlos-8.mp3,1000670184826,2010-11-06T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
9,9. Sendung vom 24.11.2010,https://alternativlos.cdn.as250.net/alternativlos-9.mp3,1000670184853,2010-11-24T19:00:00Z,done,apple,2026-06-16T10:35:17+00:00
10,10. Sendung vom 10.12.2010,https://alternativlos.cdn.as250.net/alternativlos-10.mp3,1000670184693,2010-12-10T15:00:00Z,done,apple,2026-06-16T10:35:17+00:00
11,11. Sendung vom 1.2.2011,https://alternativlos.cdn.as250.net/alternativlos-11.mp3,1000670184658,2011-02-01T18:00:00Z,done,apple,2026-06-16T10:35:17+00:00
12,12. Sendung vom 13.2.2011,https://alternativlos.cdn.as250.net/alternativlos-12.mp3,1000670184709,2011-02-13T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
13,13. Sendung vom 27.2.2011,https://alternativlos.cdn.as250.net/alternativlos-13.mp3,1000670184774,2011-02-27T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
14,14. Sendung vom 18.3.2011,https://alternativlos.cdn.as250.net/alternativlos-14.mp3,1000670184594,2011-03-18T20:00:00Z,done,apple,2026-06-16T10:35:17+00:00
15,15. Sendung vom 26.4.2011,https://alternativlos.cdn.as250.net/alternativlos-15.mp3,1000670184852,2011-04-26T15:00:00Z,done,apple,2026-06-16T10:35:17+00:00
16,"ALT016: Geld, Bitcoin, Währungspolitik und Gold",https://alternativlos.cdn.as250.net/alternativlos-16.mp3,1000670184851,2011-06-07T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
17,"ALT017: Aktien, Derivate, Börse",https://alternativlos.cdn.as250.net/alternativlos-17.mp3,1000670184657,2011-07-17T10:00:00Z,done,apple,2026-06-16T10:35:17+00:00
18,"ALT018: Peak Oil, Weltuntergang",https://alternativlos.cdn.as250.net/alternativlos-18.mp3,1000670184797,2011-08-20T12:00:00Z,done,apple,2026-06-16T10:35:17+00:00
19,ALT019: Staatstrojaner,https://alternativlos.cdn.as250.net/alternativlos-19.mp3,1000670184773,2011-10-11T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
20,ALT020: Politischer Diskurs,https://alternativlos.cdn.as250.net/alternativlos-20.mp3,1000670184771,2011-10-23T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
21,ALT021: Terrorismus,https://alternativlos.cdn.as250.net/alternativlos-21.mp3,1000670184824,2011-12-10T22:00:00Z,done,apple,2026-06-16T10:35:17+00:00
22,ALT022: Korruption,https://alternativlos.cdn.as250.net/alternativlos-22.mp3,1000670184737,2012-03-05T22:00:00Z,done,apple,2026-06-16T10:35:17+00:00
23,ALT023: Verschwörungstheorien,https://alternativlos.cdn.as250.net/alternativlos-23.mp3,1000670184772,2012-05-06T00:00:00Z,done,apple,2026-06-16T10:35:17+00:00
24,ALT024: Interview mit Dr.Mathias Döpfner,https://alternativlos.cdn.as250.net/alternativlos-24.mp3,1000670184593,2012-07-02T12:00:00Z,done,apple,2026-06-16T10:35:17+00:00
