number,title,link,source_id,published_at,state,transcript_source,discovered_at
1,Das Domain Name System,https://chaosradio.de/cr250-dns,480,2018-09-24T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
2,Decentralize the web,https://chaosradio.de/cr249-decentralizetheweb,481,2018-08-27T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
3,HTTPS – und nun?,https://chaosradio.de/cr248-https,482,2018-07-26T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
4,Computerspieleentwicklung,https://chaosradio.de/cr247-computerspieleentwicklung,483,2018-06-28T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
5,Die Gesellschaft für Freiheitsrechte,https://chaosradio.de/cr246-gff,484,2018-05-31T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
6,Forum InformatikerInnen für Frieden und gesellschaftliche Verantwortung,https://chaosradio.de/cr245-fiff,485,2018-04-26T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
7,Das Ende von Facebook?,https://chaosradio.de/cr244-dasendevonfacebook,486,2018-03-29T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
8,Open Data und Datenjournalismus,https://chaosradio.de/cr243-opendataunddatenjournalismus,487,2018-02-22T22:00:00+01:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
9,Einmal einschmelzen bitte,https://chaosradio.de/cr242-einmaleinschmelzenbitte,488,2018-01-25T22:00:00+01:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
10,Ein Kessel Buntes (II),https://chaosradio.de/cr241-einkesselbuntesii,489,2017-11-30T22:00:00+01:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
11,Fünf Jahre Wikidata,https://chaosradio.de/cr240-fuenfjahrewikidata,490,2017-10-26T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
12,Sichere Stimmauszählung,https://chaosradio.de/cr239-sicherestimmauszaehlung,491,2017-09-28T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
13,Informatik-Studium und -Ausbildung,https://chaosradio.de/cr238-informatikstudiumundausbildung,492,2017-08-31T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
14,Vier Jahre Neuland,https://chaosradio.de/cr237-vierjahreneuland,493,2017-07-27T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
15,Intrusion Detection und Incident Response,https://chaosradio.de/cr236-intrusiondetectionundincidenceresponse,494,2017-06-29T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
16,I #WannaCry,https://chaosradio.de/cr235-iwannacry,495,2017-05-25T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
17,Home Sweet Home,https://chaosradio.de/cr234-homesweethome,496,2017-04-27T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
18,Glasfaserausbau,https://chaosradio.de/cr233-glasfaserausbau,497,2017-03-30T22:00:00+02:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
19,There is no Game,https://chaosradio.de/cr232-thereisnogame,498,2017-02-27T22:00:00+01:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
20,Programmieren lernen,https://chaosradio.de/cr231-programmierenlernen,499,2017-01-26T22:00:00+01:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
21,33C3-Spezial,https://chaosradio.de/cr230-33c3spezial,500,2016-12-30T22:00:00+01:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
22,Ein Kessel Buntes,https://chaosradio.de/cr229-einkesselbuntes,501,2016-11-24T22:00:00+01:00,no_transcript,podlove,2026-06-14T09:35:06+00:00
