number,title,link,source_id,published_at,state,transcript_source,discovered_at
1,CRE001 Chaosradio Express stellt sich vor,https://cre.fm/cre001,1000534862103,2005-11-21T23:00:00Z,done,podlove,2026-06-16T10:14:18+00:00
2,"CRE002 22C3, Schäuble, Coral CDN, CACert",https://cre.fm/cre002,1000534862271,2005-11-29T21:00:00Z,done,apple,2026-06-16T10:14:18+00:00
3,CRE003 Die Testsendung,https://cre.fm/cre003-die-testsendung,1000534862305,2005-12-03T09:00:00Z,done,apple,2026-06-16T10:14:18+00:00
4,CRE004 Klangwellen aller Art,https://cre.fm/cre004-klangwellen-aller-art,1000534862216,2005-12-06T08:30:00Z,done,apple,2026-06-16T10:14:18+00:00
5,CRE005 Das 22C3 Konferenzprogramm,https://cre.fm/cre005-22c3-konferenzprogramm,1000534862304,2005-12-09T04:00:00Z,done,apple,2026-06-16T10:14:18+00:00
6,CRE006 Das POC,https://cre.fm/cre006-das-poc,1000534862253,2005-12-09T21:00:00Z,done,apple,2026-06-16T10:14:18+00:00
7,"CRE007 WSIS, Data Retention, Urheberrecht",https://cre.fm/cre007,1000534862215,2005-12-13T01:00:00Z,done,apple,2026-06-16T10:14:18+00:00
8,"CRE008 Feedback, Wikipedia und freie Klänge",https://cre.fm/cre008,1000534862214,2005-12-18T16:00:00Z,done,apple,2026-06-16T10:14:18+00:00
9,"CRE009 22C3 Roundup, Nerd Net Radio History",https://cre.fm/cre009,1000534862130,2005-12-24T01:00:00Z,done,apple,2026-06-16T10:14:18+00:00
10,CRE010 Régine Débatty,https://cre.fm/cre010-regine-debatty,1000534862329,2005-12-29T06:00:00Z,done,apple,2026-06-16T10:14:18+00:00
11,CRE011 Joi Ito,https://cre.fm/cre011-joi-ito,1000534862270,2005-12-29T14:00:00Z,done,apple,2026-06-16T10:14:18+00:00
12,CRE012 Eric Blossom,https://cre.fm/cre012-eric-blossom,1000534862302,2005-12-29T19:00:00Z,done,apple,2026-06-16T10:14:18+00:00
13,CRE013 Jacob Appelbaum,https://cre.fm/cre013-jacob-appelbaum,1000534862303,2005-12-30T19:00:00Z,done,apple,2026-06-16T10:14:18+00:00
14,"CRE014 22C3 Rückblick, Veranstaltungen in 2006",https://cre.fm/cre014-22c3-rueckblick-veranstaltungen-in-2006,1000534862129,2006-01-22T02:00:00Z,done,apple,2026-06-16T10:14:18+00:00
15,"CRE015 WMF, Aibo, E-Ink, Prozessoren und Podcasting",https://cre.fm/cre015-wmf-aibo-e-ink-prozessoren-podcasting,1000534862252,2006-01-30T05:00:00Z,done,apple,2026-06-16T10:14:18+00:00
