number,title,link,source_id,published_at,state,transcript_source,discovered_at
0,FG000 Forschergeist,https://forschergeist.de/podcast/fg000-forschergeist/,2,2014-10-29T12:41:12+01:00,done,podlove,2026-06-16T10:50:04+00:00
1,FG001 Geschichte der Wissenschaften,https://forschergeist.de/podcast/fg001-geschichte-der-wissenschaften/,4,2014-11-03T10:00:42+01:00,done,podlove,2026-06-16T10:50:04+00:00
2,FG002 Citizen Science,https://forschergeist.de/podcast/fg002-citizen-science/,6,2014-11-17T12:30:11+01:00,done,podlove,2026-06-16T10:50:04+00:00
3,FG003 Autonomer Verkehr,https://forschergeist.de/podcast/fg003-autonomer-verkehr/,8,2014-12-01T10:10:26+01:00,done,podlove,2026-06-16T10:50:04+00:00
4,FG004 Talentförderung,https://forschergeist.de/podcast/fg004-talentfoerderung/,10,2014-12-15T10:16:39+01:00,done,podlove,2026-06-16T10:50:04+00:00
5,FG005 Wissenschaftskommunikation,https://forschergeist.de/podcast/fg005-wissenschaftskommunikation/,22,2014-12-29T10:00:26+01:00,done,podlove,2026-06-16T10:50:04+00:00
6,FG006 Die Bildung und das Web,https://forschergeist.de/podcast/fg006-die-bildung-und-das-web/,37,2015-01-19T10:00:19+01:00,done,podlove,2026-06-16T10:50:04+00:00
7,FG007 Die deutsche Sprache und die Wissenschaften,https://forschergeist.de/podcast/fg007-die-deutsche-sprache-und-die-wissenschaften/,43,2015-02-09T11:00:25+01:00,done,podlove,2026-06-16T10:50:04+00:00
8,FG008 Wirtschaftskriminalität,https://forschergeist.de/podcast/fg008-wirtschaftskriminalitaet/,47,2015-03-02T15:39:50+01:00,done,podlove,2026-06-16T10:50:04+00:00
9,FG009 Wirtschaftspolitischer Journalismus,https://forschergeist.de/podcast/fg009-wirtschaftspolitischer-journalismus/,49,2015-03-24T11:00:47+01:00,done,podlove,2026-06-16T10:50:04+00:00
10,FG010 Wissenschaft im Dialog,https://forschergeist.de/podcast/fg010-wissenschaft-im-dialog/,52,2015-05-11T11:00:58+02:00,done,podlove,2026-06-16T10:50:04+00:00
11,FG011 Lehren und Lernen in digitalen Zeiten,https://forschergeist.de/podcast/fg011-lehren-und-lernen-in-digitalen-zeiten/,55,2015-05-25T11:00:43+02:00,done,podlove,2026-06-16T10:50:04+00:00
12,FG012 Energieforschung,https://forschergeist.de/podcast/fg012-energieforschung/,58,2015-06-08T11:00:51+02:00,done,podlove,2026-06-16T10:50:04+00:00
13,FG013 Horizont 2020,https://forschergeist.de/podcast/fg013-horizont-2020/,66,2015-06-22T11:00:45+02:00,done,podlove,2026-06-16T10:50:04+00:00
14,FG014 Wissenschaftsgeschichte Asiens,https://forschergeist.de/podcast/fg014-wissenschaftsgeschichte-asiens/,68,2015-07-06T11:00:46+02:00,done,podlove,2026-06-16T10:50:04+00:00
15,FG015 Wissenschaftsmanagement,https://forschergeist.de/podcast/fg015-wissenschaftsmanagement/,71,2015-07-22T17:19:40+02:00,done,podlove,2026-06-16T10:50:04+00:00
16,FG016 Open Science,https://forschergeist.de/podcast/fg016-open-science/,75,2015-08-10T11:00:58+02:00,done,podlove,2026-06-16T10:50:04+00:00
17,FG017 Forschen und Lehren in Cambridge,https://forschergeist.de/podcast/fg017-forschen-und-lehren-in-cambridge/,78,2015-08-31T13:59:16+02:00,done,podlove,2026-06-16T10:50:04+00:00
18,FG018 Die Vermessung der Welt,https://forschergeist.de/podcast/fg018-die-vermessung-der-welt/,80,2015-09-21T10:00:07+02:00,done,podlove,2026-06-16T10:50:04+00:00
19,FG019 Cradle To Cradle,https://forschergeist.de/podcast/fg019-cradle-to-cradle/,83,2015-10-12T23:40:44+02:00,done,podlove,2026-06-16T10:50:04+00:00
20,FG020 Wissenschaftsfinanzierung,https://forschergeist.de/podcast/fg020-wissenschaftsfinanzierung/,85,2015-11-02T10:00:12+01:00,done,podlove,2026-06-16T10:50:04+00:00
21,FG021 Spielen und Lernen,https://forschergeist.de/podcast/fg021-spielen-und-lernen/,87,2015-11-23T10:00:13+01:00,done,podlove,2026-06-16T10:50:04+00:00
22,FG022 Hochschullehre Digital,https://forschergeist.de/podcast/fg022-hochschullehre-digital/,89,2015-12-14T10:00:02+01:00,done,podlove,2026-06-16T10:50:04+00:00
23,FG023 Welt in Balance,https://forschergeist.de/podcast/fg023-welt-in-balance/,93,2016-01-04T10:00:34+01:00,done,podlove,2026-06-16T10:50:04+00:00
24,FG024 Nachhaltige Chemie und das Wasser,https://forschergeist.de/podcast/fg024-nachhaltige-chemie-und-das-wasser/,97,2016-01-28T14:03:08+01:00,done,podlove,2026-06-16T10:50:04+00:00
25,FG025 Transformative Wissenschaft,https://forschergeist.de/podcast/fg025-transformative-wissenschaft/,100,2016-02-22T10:00:00+01:00,done,podlove,2026-06-16T10:50:04+00:00
26,FG026 Gottfried Wilhelm Leibniz,https://forschergeist.de/podcast/fg026-gottfried-wilhelm-leibniz/,104,2016-03-14T10:00:29+01:00,done,podlove,2026-06-16T10:50:04+00:00
27,FG027 Vertrauen und Kontrolle in der Wissenschaft,https://forschergeist.de/podcast/fg027-vertrauen-und-kontrolle-in-der-wissenschaft/,108,2016-04-19T16:10:01+02:00,done,podlove,2026-06-16T10:50:04+00:00
28,"FG028 Moore, Paludikultur und das Klima",https://forschergeist.de/podcast/fg028-moore-paludikultur-und-das-klima/,111,2016-05-02T12:00:38+02:00,done,podlove,2026-06-16T10:50:04+00:00
29,FG029 Meeresforschung und Tiefsee,https://forschergeist.de/podcast/fg029-meeresforschung-und-tiefsee/,113,2016-05-17T10:00:36+02:00,done,podlove,2026-06-16T10:50:04+00:00
30,FG030 Konflikt- und Gewaltforschung,https://forschergeist.de/podcast/fg030-konflikt-und-gewaltforschung/,120,2016-06-13T10:00:58+02:00,done,podlove,2026-06-16T10:50:04+00:00
31,FG031 Abenteuer Mathematik,https://forschergeist.de/podcast/fg031-abenteuer-mathematik/,123,2016-06-30T10:00:11+02:00,done,podlove,2026-06-16T10:50:04+00:00
32,FG032 Hochschule und Zivilgesellschaft,https://forschergeist.de/podcast/fg032-hochschule-und-zivilgesellschaft/,125,2016-07-18T14:00:19+02:00,done,podlove,2026-06-16T10:50:04+00:00
33,FG033 Cusanus-Hochschule,https://forschergeist.de/podcast/fg033-cusanus-hochschule/,127,2016-08-10T13:27:14+02:00,done,podlove,2026-06-16T10:50:04+00:00
34,FG034 Werner Heisenberg,https://forschergeist.de/podcast/fg034-werner-heisenberg/,129,2016-08-29T10:00:37+02:00,done,podlove,2026-06-16T10:50:04+00:00
35,FG035 Science Slams und Wissenschaftskommunikation,https://forschergeist.de/podcast/fg035-science-slams-und-wissenschaftskommunikation/,132,2016-09-19T10:00:52+02:00,done,podlove,2026-06-16T10:50:04+00:00
36,FG036 Internationalisierung der Forschung,https://forschergeist.de/podcast/fg036-internationalisierung-der-forschung/,134,2016-10-19T10:00:49+02:00,done,podlove,2026-06-16T10:50:04+00:00
37,FG037 Freies Wissen und Open Data,https://forschergeist.de/podcast/fg037-freies-wissen-und-open-data/,136,2016-11-08T14:21:29+01:00,done,podlove,2026-06-16T10:50:04+00:00
38,FG038 Politische Zäsuren und das Recht,https://forschergeist.de/podcast/fg038-politische-zaesuren-und-das-recht/,138,2016-11-24T15:19:59+01:00,done,podlove,2026-06-16T10:50:04+00:00
39,FG039 Das Anthropozän,https://forschergeist.de/podcast/fg039-das-anthropozaen/,140,2016-12-13T13:16:59+01:00,done,podlove,2026-06-16T10:50:04+00:00
40,FG040 Stadt und Gesundheit,https://forschergeist.de/podcast/fg040-stadt-und-gesundheit/,142,2017-01-20T11:00:50+01:00,done,podlove,2026-06-16T10:50:04+00:00
41,FG041 Klassische Archäologie,https://forschergeist.de/podcast/fg041-klassische-archaeologie/,144,2017-02-17T14:25:54+01:00,done,podlove,2026-06-16T10:50:04+00:00
42,FG042 Neues Lehren und Lernen an der Fachhochschule,https://forschergeist.de/podcast/fg042-neues-lehren-und-lernen-an-der-fachhochschule/,146,2017-03-28T12:24:01+02:00,done,podlove,2026-06-16T10:50:04+00:00
43,FG043 Schule und Lernen in der digitalen Welt,https://forschergeist.de/podcast/fg043-schule-und-lernen-in-der-digitalen-welt/,148,2017-04-15T21:25:59+02:00,done,podlove,2026-06-16T10:50:04+00:00
44,FG044 Digitalisierung der Bibliotheken,https://forschergeist.de/podcast/fg044-digitalisierung-der-bibliotheken/,152,2017-05-19T09:16:10+02:00,done,podlove,2026-06-16T10:50:04+00:00
45,FG045 Martin Luther,https://forschergeist.de/podcast/fg045-martin-luther/,154,2017-06-09T10:00:02+02:00,done,podlove,2026-06-16T10:50:04+00:00
46,FG046 Bienenforschung,https://forschergeist.de/podcast/fg046-bienenforschung/,156,2017-06-30T16:20:01+02:00,done,podlove,2026-06-16T10:50:04+00:00
47,FG047 Wüstenforschung,https://forschergeist.de/podcast/fg047-wuestenforschung/,158,2017-07-20T10:00:08+02:00,done,podlove,2026-06-16T10:50:04+00:00
48,FG048 Die Zukunftsmacher,https://forschergeist.de/podcast/fg048-die-zukunftsmacher/,160,2017-08-10T11:00:55+02:00,done,podlove,2026-06-16T10:50:04+00:00
