number,title,link,source_id,published_at,state,transcript_source,discovered_at
1,MM001 Der Pilot,https://freakshow.fm/podlove/file/2334/s/feed/c/mp3/mm001-der-pilot.mp3,899,"Tue, 01 Apr 2008 17:33:01 +0000",done,apple,2026-06-10T20:45:11+00:00
2,MM002 Pwnage,https://freakshow.fm/podlove/file/2330/s/feed/c/mp3/mm002-pwnage.mp3,898,"Thu, 17 Apr 2008 00:18:22 +0000",done,podlove,2026-06-10T20:45:11+00:00
3,MM003 Das Schwert des Damokles,https://freakshow.fm/podlove/file/2326/s/feed/c/mp3/mm003-das-schwert-des-damokles.mp3,897,"Mon, 28 Apr 2008 21:25:59 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
4,MM004 Again and Again,https://freakshow.fm/podlove/file/2322/s/feed/c/mp3/mm004-again-and-again.mp3,896,"Tue, 13 May 2008 06:57:09 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
5,MM005 Ich seh' in 3D,https://freakshow.fm/podlove/file/2318/s/feed/c/mp3/mm005-ich-seh-in-3d.mp3,895,"Mon, 26 May 2008 23:21:31 +0000",done,apple,2026-06-10T20:45:11+00:00
6,MM006 Active Stink,https://freakshow.fm/podlove/file/2314/s/feed/c/mp3/mm006-active-stink.mp3,894,"Wed, 11 Jun 2008 23:24:40 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
7,MM007 Halbfinale,https://freakshow.fm/podlove/file/2310/s/feed/c/mp3/mm007-halbfinale.mp3,893,"Sat, 28 Jun 2008 06:00:54 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
8,MM008 Runde Ecken,https://freakshow.fm/podlove/file/2306/s/feed/c/mp3/mm008-runde-ecken.mp3,892,"Fri, 11 Jul 2008 18:56:22 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
9,MM009 Reboot tut gut,https://freakshow.fm/podlove/file/2302/s/feed/c/mp3/mm009-reboot-tut-gut.mp3,891,"Wed, 23 Jul 2008 23:27:11 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
10,MM010 Live und in Farbe,https://freakshow.fm/podlove/file/2298/s/feed/c/mp3/mm010-live-und-in-farbe.mp3,890,"Fri, 08 Aug 2008 09:53:51 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
11,MM011 Potsdamer Podcaster,https://freakshow.fm/podlove/file/2294/s/feed/c/mp3/mm011-potsdamer-podcaster.mp3,889,"Wed, 20 Aug 2008 23:20:52 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
12,MM012 Die Welt ist eine Scheibe,https://freakshow.fm/podlove/file/2290/s/feed/c/mp3/mm012-die-welt-ist-eine-scheibe.mp3,888,"Wed, 03 Sep 2008 22:32:14 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
13,MM013 Triple-Ender,https://freakshow.fm/podlove/file/2286/s/feed/c/mp3/mm013-triple-ender.mp3,887,"Sat, 27 Sep 2008 21:56:48 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
14,MM014 Behind the Scenes,https://freakshow.fm/podlove/file/2282/s/feed/c/mp3/mm014-behind-the-scenes.mp3,886,"Sun, 12 Oct 2008 00:07:11 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
15,MM015 Bag of Hurt,https://freakshow.fm/podlove/file/2278/s/feed/c/mp3/mm015-bag-of-hurt.mp3,885,"Thu, 16 Oct 2008 15:44:40 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
16,MM016 Mäuse und Moneten,https://freakshow.fm/podlove/file/2274/s/feed/c/mp3/mm016-maeuse-und-moneten.mp3,884,"Wed, 29 Oct 2008 21:42:39 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
17,MM017 Neunzehn Zoll,https://freakshow.fm/podlove/file/2270/s/feed/c/mp3/mm017-neunzehn-zoll.mp3,883,"Thu, 13 Nov 2008 11:27:44 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
18,MM018 LWMLAF,https://freakshow.fm/podlove/file/2266/s/feed/c/mp3/mm018-lwmlaf.mp3,882,"Fri, 05 Dec 2008 09:11:00 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
19,MM019 Ho Ho Ho,https://freakshow.fm/podlove/file/2262/s/feed/c/mp3/mm019-ho-ho-ho.mp3,881,"Thu, 18 Dec 2008 01:18:49 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
20,MM020 Philnote,https://freakshow.fm/podlove/file/2258/s/feed/c/mp3/mm020-philnote.mp3,880,"Thu, 08 Jan 2009 01:07:46 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
21,MM021 Hollywood,https://freakshow.fm/podlove/file/2254/s/feed/c/mp3/mm021-hollywood.mp3,879,"Thu, 22 Jan 2009 13:30:05 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
22,MM022 Clean Install,https://freakshow.fm/podlove/file/2250/s/feed/c/mp3/mm022-clean-install.mp3,878,"Thu, 05 Feb 2009 22:12:44 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
23,MM023 Unbefleckte Empfängnis,https://freakshow.fm/podlove/file/2246/s/feed/c/mp3/mm023-unbefleckte-empfaengnis.mp3,877,"Sat, 21 Feb 2009 15:22:16 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
24,MM024 Fürchte Dich nicht,https://freakshow.fm/podlove/file/2242/s/feed/c/mp3/mm024-fuerchte-dich-nicht.mp3,876,"Mon, 30 Mar 2009 21:46:45 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
25,MM025 Wer kauft wen?,https://freakshow.fm/podlove/file/2238/s/feed/c/mp3/mm025-wer-kauft-wen.mp3,875,"Tue, 14 Apr 2009 13:26:54 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
26,MM026 Zensursula,https://freakshow.fm/podlove/file/2234/s/feed/c/mp3/mm026-zensursula.mp3,874,"Mon, 27 Apr 2009 21:34:37 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
27,MM027 Konsumrausch,https://freakshow.fm/podlove/file/2230/s/feed/c/mp3/mm027-konsumrausch.mp3,873,"Mon, 11 May 2009 22:25:42 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
28,MM028 General Awesomeness,https://freakshow.fm/podlove/file/2226/s/feed/c/mp3/mm028-general-awesomeness.mp3,872,"Wed, 03 Jun 2009 22:40:37 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
29,MM029 Bumm Zack Return,https://freakshow.fm/podlove/file/2222/s/feed/c/mp3/mm029-bumm-zack-return.mp3,871,"Tue, 09 Jun 2009 22:29:42 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
30,MM030 Lob der Schweiz,https://freakshow.fm/podlove/file/2218/s/feed/c/mp3/mm030-lob-der-schweiz.mp3,870,"Tue, 23 Jun 2009 10:10:39 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
31,MM031 Push It,https://freakshow.fm/podlove/file/2214/s/feed/c/mp3/mm031-push-it.mp3,869,"Wed, 08 Jul 2009 00:16:29 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
32,MM032 La Ola,https://freakshow.fm/podlove/file/2210/s/feed/c/mp3/mm032-la-ola.mp3,868,"Wed, 22 Jul 2009 18:15:41 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
33,MM033 Alle Wege führen nach Rom,https://freakshow.fm/podlove/file/2206/s/feed/c/mp3/mm033-alle-wege-fuehren-nach-rom.mp3,867,"Fri, 14 Aug 2009 21:06:25 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
34,MM034 Schneegestöber,https://freakshow.fm/podlove/file/2202/s/feed/c/mp3/mm034-schneegestoeber.mp3,866,"Thu, 24 Sep 2009 11:24:46 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
35,MM035 Halbstarke Software,https://freakshow.fm/podlove/file/2198/s/feed/c/mp3/mm035-halbstarke-software.mp3,865,"Thu, 08 Oct 2009 15:56:23 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
36,MM036 Trust Me,https://freakshow.fm/podlove/file/2194/s/feed/c/mp3/mm036-trust-me.mp3,864,"Sun, 25 Oct 2009 23:43:26 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
37,MM037 Bullet Time,https://freakshow.fm/podlove/file/2190/s/feed/c/mp3/mm037-bullet-time.mp3,863,"Sun, 08 Nov 2009 12:16:51 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
38,MM038 Google für Eintausend,https://freakshow.fm/podlove/file/2186/s/feed/c/mp3/mm038-google-fuer-eintausend.mp3,862,"Mon, 30 Nov 2009 01:03:24 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
39,MM039 Home Alone,https://freakshow.fm/podlove/file/2182/s/feed/c/mp3/mm039-home-alone.mp3,861,"Sat, 12 Dec 2009 23:09:26 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
40,MM040 Das Tablett,https://freakshow.fm/podlove/file/2178/s/feed/c/mp3/mm040-das-tablett.mp3,860,"Sun, 17 Jan 2010 09:20:42 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
41,MM041 Jeder nur ein Kreuz,https://freakshow.fm/podlove/file/2174/s/feed/c/mp3/mm041-jeder-nur-ein-kreuz.mp3,859,"Sun, 31 Jan 2010 01:18:14 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
42,MM042 Bi-Ba-Buzzemann,https://freakshow.fm/podlove/file/2170/s/feed/c/mp3/mm042-bi-ba-buzzemann.mp3,858,"Sun, 21 Feb 2010 22:14:47 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
43,MM043 Patentkrieg,https://freakshow.fm/podlove/file/2166/s/feed/c/mp3/mm043-patentkrieg.mp3,857,"Sun, 07 Mar 2010 06:04:34 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
44,MM044 Schöner Buchen,https://freakshow.fm/podlove/file/2162/s/feed/c/mp3/mm044-schoener-buchen.mp3,856,"Tue, 30 Mar 2010 22:37:25 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
45,MM045 Ka-Ching,https://freakshow.fm/podlove/file/2158/s/feed/c/mp3/mm045-ka-ching.mp3,855,"Thu, 22 Apr 2010 16:06:28 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
46,MM046 Liebe ist …,https://freakshow.fm/podlove/file/2154/s/feed/c/mp3/mm046-liebe-ist.mp3,854,"Wed, 19 May 2010 15:33:04 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
47,MM047 Haptischer Orgasmus,https://freakshow.fm/podlove/file/2150/s/feed/c/mp3/mm047-haptischer-orgasmus.mp3,853,"Sun, 13 Jun 2010 16:27:28 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
48,MM048 /usr/local,https://freakshow.fm/podlove/file/2146/s/feed/c/mp3/mm048-usr-local.mp3,852,"Sat, 14 Aug 2010 00:33:53 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
49,MM049 Finanzamt für Körperschaften II,https://freakshow.fm/podlove/file/2142/s/feed/c/mp3/mm049-finanzamt-fuer-koerperschaften-ii.mp3,851,"Wed, 01 Sep 2010 22:39:44 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
50,MM050 Fail Center,https://freakshow.fm/podlove/file/2138/s/feed/c/mp3/mm050-fail-center.mp3,850,"Fri, 17 Sep 2010 10:06:35 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
51,"MM051 Up The Shut Fuck, You Must",https://freakshow.fm/podlove/file/2134/s/feed/c/mp3/mm051-up-the-shut-fuck-you-must.mp3,849,"Thu, 30 Sep 2010 23:14:37 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
52,MM052 Trololo Tralala,https://freakshow.fm/podlove/file/2130/s/feed/c/mp3/mm052-trololo-tralala.mp3,848,"Fri, 15 Oct 2010 00:51:54 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
53,MM053 Wir sind alle Chuck Norris,https://freakshow.fm/podlove/file/2126/s/feed/c/mp3/mm053-wir-sind-alle-chuck-norris.mp3,847,"Fri, 29 Oct 2010 00:13:32 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
54,MM054 Datenesoterik,https://freakshow.fm/podlove/file/2122/s/feed/c/mp3/mm054-datenesoterik.mp3,846,"Thu, 18 Nov 2010 23:51:35 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
55,MM055 Macintosh Not Included,https://freakshow.fm/podlove/file/2118/s/feed/c/mp3/mm055-macintosh-not-included.mp3,845,"Thu, 02 Dec 2010 01:55:42 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
56,MM056 Das Bild hängt schief,https://freakshow.fm/podlove/file/2114/s/feed/c/mp3/mm056-das-bild-haengt-schief.mp3,844,"Thu, 16 Dec 2010 01:09:23 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
57,MM057 The tip is broken when you need it,https://freakshow.fm/podlove/file/2110/s/feed/c/mp3/mm057-the-tip-is-broken-when-you-need-it.mp3,843,"Sat, 08 Jan 2011 03:17:37 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
58,MM058 MacBook Liberation Front,https://freakshow.fm/podlove/file/2106/s/feed/c/mp3/mm058-macbook-liberation-front.mp3,842,"Thu, 20 Jan 2011 01:12:15 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
59,MM059 Das Internet braucht mehr Sex,https://freakshow.fm/podlove/file/2102/s/feed/c/mp3/mm059-das-internet-braucht-mehr-sex.mp3,841,"Thu, 03 Feb 2011 02:23:27 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
60,MM060 Back to the Boots,https://freakshow.fm/podlove/file/2098/s/feed/c/mp3/mm060-back-to-the-boots.mp3,840,"Thu, 17 Feb 2011 01:21:27 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
61,MM061 Bolt Move,https://freakshow.fm/podlove/file/2094/s/feed/c/mp3/mm061-bolt-move.mp3,839,"Thu, 03 Mar 2011 02:27:15 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
62,MM062 Honey Rider,https://freakshow.fm/podlove/file/2090/s/feed/c/mp3/mm062-honey-rider.mp3,838,"Fri, 18 Mar 2011 15:33:12 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
63,MM063 Gesprächsthemenskat,https://freakshow.fm/podlove/file/2086/s/feed/c/mp3/mm063-gespraechsthemenskat.mp3,837,"Thu, 21 Apr 2011 01:11:18 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
64,MM064 Opa erzählt vom Krieg,https://freakshow.fm/podlove/file/2082/s/feed/c/mp3/mm064-opa-erzaehlt-vom-krieg.mp3,836,"Wed, 04 May 2011 22:51:11 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
65,MM065 Stimme der Jugend,https://freakshow.fm/podlove/file/2078/s/feed/c/mp3/mm065-stimme-der-jugend.mp3,835,"Wed, 18 May 2011 22:48:15 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
66,MM066 Control Shift Eject,https://freakshow.fm/podlove/file/2074/s/feed/c/mp3/mm066-control-shift-eject.mp3,834,"Thu, 02 Jun 2011 00:18:47 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
67,MM067 Mouse Pointer HD,https://freakshow.fm/podlove/file/2070/s/feed/c/mp3/mm067-mouse-pointer-hd.mp3,833,"Wed, 15 Jun 2011 23:56:32 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
68,MM068 Zehn Meter Bremsspur,https://freakshow.fm/podlove/file/2066/s/feed/c/mp3/mm068-zehn-meter-bremsspur.mp3,832,"Wed, 29 Jun 2011 11:55:36 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
69,MM069 Mach den Affen weg,https://freakshow.fm/podlove/file/2062/s/feed/c/mp3/mm069-mach-den-affen-weg.mp3,831,"Sat, 23 Jul 2011 09:43:15 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
70,MM070 Dieser Planet ist durchgespielt,https://freakshow.fm/podlove/file/2058/s/feed/c/mp3/mm070-dieser-planet-ist-durchgespielt.mp3,830,"Tue, 23 Aug 2011 15:25:33 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
71,MM071 Sicheres Durchstöbern,https://freakshow.fm/podlove/file/2054/s/feed/c/mp3/mm071-sicheres-durchstoebern.mp3,829,"Wed, 07 Sep 2011 23:11:15 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
72,MM072 Anonyme Adobiker,https://freakshow.fm/podlove/file/2050/s/feed/c/mp3/mm072-anonyme-adobiker.mp3,828,"Mon, 19 Sep 2011 21:36:48 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
73,MM073 Creepy,https://freakshow.fm/podlove/file/2046/s/feed/c/mp3/mm073-creepy.mp3,827,"Thu, 06 Oct 2011 11:39:58 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
74,MM074 Tal der Tränen,https://freakshow.fm/podlove/file/2042/s/feed/c/mp3/mm074-tal-der-traenen.mp3,826,"Wed, 19 Oct 2011 22:26:47 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
75,MM075 Meistens Immer,https://freakshow.fm/podlove/file/2038/s/feed/c/mp3/mm075-meistens-immer.mp3,825,"Mon, 31 Oct 2011 23:44:12 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
76,MM076 Seepferdchensex,https://freakshow.fm/podlove/file/2034/s/feed/c/mp3/mm076-seepferdchensex.mp3,824,"Thu, 17 Nov 2011 00:28:04 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
77,MM077 Der Spiegel ruckelt,https://freakshow.fm/podlove/file/2030/s/feed/c/mp3/mm077-der-spiegel-ruckelt.mp3,823,"Mon, 28 Nov 2011 23:59:25 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
78,MM078 Casual Minecraft Wannabes,https://freakshow.fm/podlove/file/2026/s/feed/c/mp3/mm078-casual-minecraft-wannabes.mp3,822,"Tue, 13 Dec 2011 01:11:16 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
79,MM079 Folgen heißt Maul halten,https://freakshow.fm/podlove/file/2022/s/feed/c/mp3/mm079-folgen-heisst-maul-halten.mp3,821,"Thu, 19 Jan 2012 01:14:57 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
80,MM080 Kalender für Einhundert,https://freakshow.fm/podlove/file/2018/s/feed/c/mp3/mm080-kalender-fuer-einhundert.mp3,820,"Wed, 01 Feb 2012 23:48:25 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
81,MM081 Hochdynamisch-Metaprogrammatisch,https://freakshow.fm/podlove/file/2014/s/feed/c/mp3/mm081-hochdynamisch-metaprogrammatisch.mp3,819,"Fri, 17 Feb 2012 01:07:36 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
82,MM082 Verklickmeinnicht,https://freakshow.fm/podlove/file/2010/s/feed/c/mp3/mm082-verklickmeinnicht.mp3,818,"Tue, 28 Feb 2012 01:19:23 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
83,MM083 The Mother of all Einlauf,https://freakshow.fm/podlove/file/2006/s/feed/c/mp3/mm083-the-mother-of-all-einlauf.mp3,817,"Wed, 14 Mar 2012 23:09:36 +0000",no_transcript,podlove,2026-06-10T20:45:11+00:00
