number,title,link,source_id,published_at,state,transcript_source,discovered_at
1,Der Rasenfunk Kurzpass - die Nullnummer,https://audio.podigee-cdn.net/15195-m-c6c6fa674e8d1a6372719bc27685cfe8.m4a?source=feed,1000369099180,2016-05-21T07:12:45Z,done,apple,2026-06-14T09:25:57+00:00
2,Sonderfolge: Rasenfunk Supporters Club,https://audio.podigee-cdn.net/15249-m-f804c9f6e4cd781ee4a29c14b8061f03.m4a?source=feed,1000372175885,2016-07-09T08:28:41Z,done,apple,2026-06-14T09:25:57+00:00
3,Stuttgart nach dem Luhukay-Rücktritt,https://audio.podigee-cdn.net/15253-m-ab83e4250e374bfa029c9ae803ed5052.m4a?source=feed,1000375353962,2016-09-15T20:44:16Z,done,apple,2026-06-14T09:25:57+00:00
4,Rasenfunk Royal XS: Alles zur 2. Bundesliga,https://audio.podigee-cdn.net/15305-m-177cea60afc45358e311ab841480637f.m4a?source=feed,1000620748342,2016-12-23T16:09:10Z,done,apple,2026-06-14T09:25:57+00:00
5,Juventus Turin vor dem Champions League-Finale,https://audio.podigee-cdn.net/15261-m-dee58cbd9e1fa6c6e249464e01f8e942.m4a?source=feed,1000385988034,2017-05-31T08:20:42Z,done,apple,2026-06-14T09:25:57+00:00
6,Rasenfunk Royal XS: Die Saison der Zweiten Liga,https://audio.podigee-cdn.net/15332-m-fedf568bdec12f13c54d76bea6d12020.m4a?source=feed,1000620748341,2017-06-03T15:19:30Z,done,apple,2026-06-14T09:25:57+00:00
7,Barca nach dem Neymar-Wechsel,https://audio.podigee-cdn.net/15262-m-f698c74d2323185f5874fe656ad2caa5.m4a?source=feed,1000390667133,2017-08-04T09:17:51Z,done,apple,2026-06-14T09:25:57+00:00
8,Die Weltmeister von morgen?,https://audio.podigee-cdn.net/15270-m-ceb4bccaf9c70075c2b3b7b8a0f8dccb.m4a?source=feed,1000399258632,2018-01-07T03:35:17Z,done,apple,2026-06-14T09:25:57+00:00
9,"Premier League, what's up? (#28)",https://audio.podigee-cdn.net/15271-m-e56988019293e9f3a39d0c44072d63e1.m4a?source=feed,1000404173804,2018-02-28T12:00:19Z,done,apple,2026-06-14T09:25:57+00:00
10,"Serie A, cosa succede in italia? (#27)",https://audio.podigee-cdn.net/15272-m-a0e39f8b9025774d73aece62dcbacdc2.m4a?source=feed,1000405520309,2018-03-08T11:04:38Z,done,apple,2026-06-14T09:25:57+00:00
11,"La Liga, qué pasa? (#28)",https://audio.podigee-cdn.net/15274-m-fd0a803df5af8d8aa16bac2531aa394d.m4a?source=feed,1000406104279,2018-03-12T18:08:42Z,done,apple,2026-06-14T09:25:57+00:00
12,"Ligue 1, quoi de neuf? (#30)",https://audio.podigee-cdn.net/15278-m-a4556502adfa9f891ec45d17973ee081.m4a?source=feed,1000407261704,2018-03-23T11:38:34Z,done,apple,2026-06-14T09:25:57+00:00
13,"Premier League, what's up? (#32)",https://audio.podigee-cdn.net/15280-m-6ff5f056999fa9299b91ba83b4c8aae7.m4a?source=feed,1000408313286,2018-04-06T17:10:41Z,done,apple,2026-06-14T09:25:57+00:00
14,"Serie A, cosa succede in italia? (#31)",https://audio.podigee-cdn.net/15282-m-c4924aec5072519093aff015f694dcc1.m4a?source=feed,1000408820953,2018-04-13T09:55:25Z,done,apple,2026-06-14T09:25:57+00:00
15,Thomas Broich zur australischen A-League,https://audio.podigee-cdn.net/17028-m-0191fbfa2739d50b21998f6135c90fbf.m4a?source=feed,1000410943436,2018-05-08T09:04:49Z,done,apple,2026-06-14T09:25:57+00:00
16,Cristiano Ronaldos Wechsel zu Juve,https://audio.podigee-cdn.net/30957-m-272b45b395e963c45eb3edd96c17bcc0.m4a?source=feed,1000415620892,2018-07-11T14:58:31Z,done,apple,2026-06-14T09:25:57+00:00
17,"Premier League, what's up? (4. Spieltag)",https://audio.podigee-cdn.net/37749-m-cc2fd6a9cb697b0a20d826a0fb071332.m4a?source=feed,1000418811166,2018-08-30T10:39:23Z,done,apple,2026-06-14T09:25:57+00:00
18,"La Liga, qué pasa? (4. Spieltag)",https://audio.podigee-cdn.net/40593-m-5161f791321bf458f4ffeb9924feeaf6.m4a?source=feed,1000420185678,2018-09-21T11:26:16Z,done,apple,2026-06-14T09:25:57+00:00
19,"Premier League, what's up? (7. Spieltag)",https://audio.podigee-cdn.net/42708-m-ef5affbb1258b374e36f5b03167734c1.m4a?source=feed,1000421073776,2018-10-04T10:16:34Z,done,apple,2026-06-14T09:25:57+00:00
20,"Ligue 1, quoi de neuf? (#9)",https://audio.podigee-cdn.net/43698-m-4a3728bd70d83fa6201451a18350762a.m4a?source=feed,1000421444748,2018-10-09T20:17:35Z,done,apple,2026-06-14T09:25:57+00:00
21,"Serie A, cosa succede in Italia? (#8)",https://audio.podigee-cdn.net/44817-m-83bae9f94cb45c19105591121936c003.m4a?source=feed,1000422087480,2018-10-18T09:19:52Z,done,apple,2026-06-14T09:25:57+00:00
22,"La Liga, qué pasa? (11. Spieltag)",https://audio.podigee-cdn.net/50010-m-9308f664658994fe0dd3611d1e144848.m4a?source=feed,1000423470813,2018-11-08T16:10:45Z,done,apple,2026-06-14T09:25:57+00:00
23,"Premier League, what's up? (12. Spieltag)",https://audio.podigee-cdn.net/53147-m-9b5fc78ef4c09f49d9fbba1ccaa640b1.m4a?source=feed,1000423970986,2018-11-16T09:19:10Z,done,apple,2026-06-14T09:25:57+00:00
24,Der Superclásico,https://audio.podigee-cdn.net/56268-m-05e4a6f9117ff5d9808a5b13afa0a574.m4a?source=feed,1000424290194,2018-11-21T13:11:13Z,done,apple,2026-06-14T09:25:57+00:00
