number,title,link,source_id,published_at,state,transcript_source,discovered_at
0,"Remember, remember!",https://logbuch-netzpolitik.de/remember-remember,1459,2016-10-18T23:59:00+02:00,no_transcript,podlove,2026-06-14T08:59:03+00:00
1,LNP001 State of the Union,https://logbuch-netzpolitik.de/lnp001-state-of-the-union,263,2011-10-28T22:58:10+02:00,no_transcript,podlove,2026-06-14T00:32:53+00:00
2,LNP002 WikiLeaks und Schultrojaner,https://logbuch-netzpolitik.de/lnp002-wikileaks-schultrojaner,261,2011-11-07T21:42:40+01:00,no_transcript,podlove,2026-06-14T00:32:53+00:00
3,LNP003 American Censorship Day,https://logbuch-netzpolitik.de/lnp003-american-censorship-day,258,2011-11-14T22:44:27+01:00,no_transcript,podlove,2026-06-14T00:32:53+00:00
4,LNP004 TurboBoost,https://logbuch-netzpolitik.de/lnp004-turboboost,256,2011-11-22T12:54:10+01:00,done,podlove,2026-06-14T00:32:53+00:00
5,LNP005 Unter 42 Minuten,https://logbuch-netzpolitik.de/lnp005-unter-42-minuten,254,2011-11-28T15:24:31+01:00,done,podlove,2026-06-14T00:32:53+00:00
6,LNP006 Digitaler Denkpanzer,https://logbuch-netzpolitik.de/lnp006-digitaler-denkpanzer,252,2011-12-05T13:15:19+01:00,done,podlove,2026-06-14T00:32:53+00:00
7,LNP007 Politisches CARE-Paket,https://logbuch-netzpolitik.de/lnp007-politisches-care-paket,250,2011-12-13T15:19:47+01:00,done,podlove,2026-06-14T00:32:53+00:00
8,LNP008 Bundeswolkenkuckucksheim,https://logbuch-netzpolitik.de/lnp008,248,2011-12-20T12:46:16+01:00,no_transcript,podlove,2026-06-14T00:32:53+00:00
9,LNP009 28C3 Spezial,https://logbuch-netzpolitik.de/lnp009-28c3-spezial,246,2012-01-11T14:23:26+01:00,done,podlove,2026-06-14T00:32:53+00:00
10,LNP010 We&#8217;re doin&#8216; it live,https://logbuch-netzpolitik.de/lnp010-were-doin-it-live,244,2012-01-12T10:00:45+01:00,done,podlove,2026-06-14T00:32:53+00:00
11,LNP011 Popcorn-Potential,https://logbuch-netzpolitik.de/lnp011-popcorn-potential,242,2012-01-24T10:11:32+01:00,done,podlove,2026-06-14T00:32:53+00:00
12,LNP012 Mediale Schlachtordnung,https://logbuch-netzpolitik.de/lnp012-mediale-schlachtordnung,240,2012-01-31T14:40:07+01:00,no_transcript,podlove,2026-06-14T00:32:53+00:00
13,LNP013 L&#8217;Entartement du Monde,https://logbuch-netzpolitik.de/lnp013-l-entartement-du-monde,238,2012-02-10T13:41:59+01:00,done,podlove,2026-06-14T00:32:53+00:00
14,LNP014 Snake Oil,https://logbuch-netzpolitik.de/lnp014-snake-oil,236,2012-02-27T16:24:57+01:00,done,podlove,2026-06-14T00:32:53+00:00
15,"LNP015 B wie Blog, C wie Zukunft",https://logbuch-netzpolitik.de/lnp015-b-wie-blog-c-wie-zukunft,234,2012-03-06T15:20:46+01:00,done,podlove,2026-06-14T00:32:53+00:00
16,LNP016 Das Reich der Spekulationen,https://logbuch-netzpolitik.de/lnp016-das-reich-der-spekulationen,233,2012-03-13T12:38:23+01:00,done,podlove,2026-06-14T00:32:53+00:00
17,LNP017 Córdoba 2.0,https://logbuch-netzpolitik.de/lnp017-cordoba-20,231,2012-03-19T12:39:41+01:00,done,podlove,2026-06-14T00:32:53+00:00
18,LNP018 Mehr Heu!,https://logbuch-netzpolitik.de/lnp018-mehr-heu,229,2012-03-28T12:41:30+02:00,no_transcript,podlove,2026-06-14T00:32:53+00:00
19,LNP019 Peak Pirate,https://logbuch-netzpolitik.de/lnp019-peak-pirate,227,2012-04-04T16:55:51+02:00,done,podlove,2026-06-14T00:32:53+00:00
