number,title,link,source_id,published_at,state,transcript_source,discovered_at
1,Die neuen Zwanziger,https://audio.podigee-cdn.net/1762689-m-57ec5602b508202f0179a166f58757c4.mp3?source=feed,1000460866307,2019-12-27T04:55:18Z,done,podlove,2026-06-14T00:42:15+00:00
2,"01/20 Neujahrsansprachen, EZB Sinnsuche, Gesichtserkennung, elektronisches Make Up & Kurzfilmrevival",https://audio.podigee-cdn.net/1762690-m-48f1a91b31c3fc586284056791fed855.mp3?source=feed,1000464273478,2020-01-31T19:00:12Z,done,podlove,2026-06-14T00:42:15+00:00
3,"Larry Finks Blackrock-Brief, Das perfekte Bordell, Alan Rusbridger, Australien im Pyrozän, Ernst Jünger",https://audio.podigee-cdn.net/1762696-m-bd4e95cd4af6a8b7d6e68f70ca241b3d.mp3?source=feed,1000464910793,2020-02-07T13:00:45Z,done,podlove,2026-06-14T00:42:15+00:00
4,"02/20 Blumenstraußwurf, Demokratiemathematik, Neoliberalismuslüge, autonome Waffen, König Zuckerberg",https://audio.podigee-cdn.net/1762699-m-1af72a5b98514cbd70d1671b5d9909bb.mp3?source=feed,1000465866588,2020-02-17T18:45:19Z,done,podlove,2026-06-14T00:42:15+00:00
5,Und plötzlich eine andere Welt,https://audio.podigee-cdn.net/1762706-m-781f9202b06fc74c073fb8332156591b.mp3?source=feed,1000469977238,2020-03-30T15:24:29Z,done,podlove,2026-06-14T00:42:15+00:00
6,"Einsamkeit trainieren, Joe Exotic gucken, Risiko kalkulieren, Maske aufsetzen, App nutzen, sozial Sterben",https://audio.podigee-cdn.net/1762718-m-9b3e29926c4618732a000f741bb83e8d.mp3?source=feed,1000473232152,2020-04-30T18:29:27Z,done,podlove,2026-06-14T00:42:15+00:00
7,"Voßkuhles Abschiedsparty, Zuckerbergs Kolonialisierung, Männerwelten, Entschwörungspraktiken",https://audio.podigee-cdn.net/1762726-m-c0a8a92b430ce1cd3d19a6bed20b4d2c.mp3?source=feed,1000476183322,2020-05-29T16:15:40Z,done,podlove,2026-06-14T00:42:15+00:00
8,"Audiotwitter, Free Speech, Motivation fürs Leben, Trump ohne Base",https://audio.podigee-cdn.net/1762731-m-751ea1ff86664c497a2a3aa36fe20919.mp3?source=feed,1000480291299,2020-06-29T16:38:13Z,done,podlove,2026-06-14T00:42:15+00:00
9,"Hamilton, Erbe für alle, China vs. Amerika, 628 Milliarden, Nindo, Gerichte als Bühnen",https://audio.podigee-cdn.net/1762739-m-9de3b9b71e329c9ab224b3587760a214.mp3?source=feed,1000486509130,2020-07-29T17:04:48Z,done,podlove,2026-06-14T00:42:15+00:00
10,"Influencer-Culture, Silicon Valley Wahlkampf, Gamescon, Greta bei Angela, Tenet",https://audio.podigee-cdn.net/1762750-m-80bd0193d26ebc0a19da1790168a8001.mp3?source=feed,1000489689051,2020-08-31T16:09:39Z,done,podlove,2026-06-14T00:42:15+00:00
