number,title,link,source_id,published_at,state,transcript_source,discovered_at
0,RZ000 Einführung,https://raumzeit-podcast.de/2010/11/02/rz000-einfuehrung/,1000534807224,2010-11-02T14:29:02Z,done,apple,2026-06-16T10:41:29+00:00
1,RZ001 Raumfahrt in Deutschland und Europa,https://raumzeit-podcast.de/2010/11/08/rz001-raumfahrt-in-deutschland-und-europa/,1000534807035,2010-11-08T10:25:33Z,done,apple,2026-06-16T10:41:29+00:00
2,RZ002 Missionsplanung,https://raumzeit-podcast.de/2010/11/12/rz002-missionsplanung/,1000534807034,2010-11-12T09:00:40Z,done,apple,2026-06-16T10:41:29+00:00
3,RZ003 Raketenantriebe,https://raumzeit-podcast.de/2010/11/19/rz003-raketenantriebe/,1000534807172,2010-11-19T09:00:44Z,done,apple,2026-06-16T10:41:29+00:00
4,RZ004 Operations,https://raumzeit-podcast.de/2010/12/03/rz004-operations/,1000534807250,2010-12-03T09:00:57Z,done,apple,2026-06-16T10:41:29+00:00
5,RZ005 Planetenforschung,https://raumzeit-podcast.de/2010/12/16/rz005-planetenforschung/,1000534807033,2010-12-16T09:00:14Z,done,apple,2026-06-16T10:41:29+00:00
6,RZ006 Erdbeobachtung,https://raumzeit-podcast.de/2011/01/07/rz006-erdbeobachtung/,1000534807223,2011-01-07T09:00:39Z,done,apple,2026-06-16T10:41:29+00:00
7,RZ007 Weltraumschrott,https://raumzeit-podcast.de/2011/01/21/rz007-weltraumschrott/,1000354924695,2011-01-21T09:00:25Z,done,apple,2026-06-16T10:41:29+00:00
8,RZ008 Satellitennavigation,https://raumzeit-podcast.de/2011/02/04/rz008-satellitennavigation/,1000354924699,2011-02-04T09:00:22Z,done,apple,2026-06-16T10:41:29+00:00
9,RZ009 Asteroiden und Kometen,https://raumzeit-podcast.de/2011/02/21/rz009-asteroiden-und-kometen/,1000354924694,2011-02-21T09:00:53Z,done,apple,2026-06-16T10:41:29+00:00
10,RZ010 Raumstationen,https://raumzeit-podcast.de/2011/03/11/rz010-raumstationen/,1000354924701,2011-03-11T09:00:26Z,done,apple,2026-06-16T10:41:29+00:00
11,RZ011 Astronautenausbildung,https://raumzeit-podcast.de/2011/03/25/rz011-astronautenausbildung/,1000354924706,2011-03-25T09:00:10Z,done,apple,2026-06-16T10:41:29+00:00
12,RZ012 Sigmund Jähn,https://raumzeit-podcast.de/2011/04/08/rz012-sigmund-jaehn/,1000354924697,2011-04-08T07:00:35Z,done,apple,2026-06-16T10:41:29+00:00
13,RZ013 Die Atmosphäre,https://raumzeit-podcast.de/2011/04/21/rz013-die-atmosphaere/,1000354857344,2011-04-21T08:00:00Z,done,apple,2026-06-16T10:41:29+00:00
14,RZ014 Robotik in der Raumfahrt,https://raumzeit-podcast.de/2011/05/06/rz014-robotik-in-der-raumfahrt/,1000354835110,2011-05-06T08:00:01Z,done,apple,2026-06-16T10:41:29+00:00
15,RZ015 Softwaretechnik,https://raumzeit-podcast.de/2011/05/20/rz015-softwaretechnik/,1000354819885,2011-05-20T08:00:22Z,done,apple,2026-06-16T10:41:29+00:00
16,RZ016 SOFIA Infrarotteleskop,https://raumzeit-podcast.de/2011/06/03/rz016-sofia-infrarotteleskop/,1000354806593,2011-06-03T08:00:35Z,done,apple,2026-06-16T10:41:29+00:00
17,RZ017 Automated Transfer Vehicle,https://raumzeit-podcast.de/2011/06/17/rz017-automated-transfer-vehicle/,1000354797969,2011-06-17T08:00:15Z,done,apple,2026-06-16T10:41:29+00:00
18,RZ018 ESTEC Test Centre,https://raumzeit-podcast.de/2011/07/01/rz018-estec-test-centre/,1000354788157,2011-07-01T08:00:21Z,done,apple,2026-06-16T10:41:29+00:00
19,RZ019 Space Shuttle,https://raumzeit-podcast.de/2011/07/08/rz019-space-shuttle/,1000354776652,2011-07-08T08:00:26Z,done,apple,2026-06-16T10:41:29+00:00
20,RZ020 Giotto und Rosetta,https://raumzeit-podcast.de/2011/07/25/rz020-giotto-und-rosetta/,1000161084659,2011-07-25T08:00:49Z,done,apple,2026-06-16T10:41:29+00:00
21,RZ021 Weltraummedizin,https://raumzeit-podcast.de/2011/09/02/rz021-weltraummedizin/,1000161084655,2011-09-02T08:00:48Z,done,apple,2026-06-16T10:41:29+00:00
22,RZ022 Advanced Concepts Team,https://raumzeit-podcast.de/2011/09/09/rz022-advanced-concepts-team/,1000161084661,2011-09-09T09:00:50Z,done,apple,2026-06-16T10:41:29+00:00
23,RZ023 ROSAT,https://raumzeit-podcast.de/2011/09/23/rz023-rosat/,1000161084650,2011-09-23T08:00:59Z,done,apple,2026-06-16T10:41:29+00:00
24,RZ024 ROSAT-Wiedereintritt,https://raumzeit-podcast.de/2011/09/30/rz024-rosat-wiedereintritt/,1000161084678,2011-09-30T08:00:16Z,done,apple,2026-06-16T10:41:29+00:00
25,RZ025 Zentrum für Kriseninformation,https://raumzeit-podcast.de/2011/10/14/rz025-zentrum-fur-kriseninformation/,1000161084677,2011-10-14T08:00:46Z,done,apple,2026-06-16T10:41:29+00:00
26,RZ026 Forschen in Schwerelosigkeit,https://raumzeit-podcast.de/2011/10/28/rz026-forschen-in-schwerelosigkeit/,1000161084665,2011-10-28T08:00:56Z,done,apple,2026-06-16T10:41:29+00:00
27,RZ027 Mars500,https://raumzeit-podcast.de/2011/11/04/rz027-mars500/,1000161084674,2011-11-04T09:00:54Z,done,apple,2026-06-16T10:41:29+00:00
28,RZ028 ESTRACK Bodenstations-Netzwerk,https://raumzeit-podcast.de/2011/11/18/rz028-estrack/,1000161084660,2011-11-18T09:00:21Z,done,apple,2026-06-16T10:41:29+00:00
29,RZ029 Herschel-Weltraumteleskop,https://raumzeit-podcast.de/2011/12/02/rz029-herschel-weltraumteleskop/,1000161084682,2011-12-02T09:00:12Z,done,apple,2026-06-16T10:41:29+00:00
30,RZ030 Cassini-Huygens,https://raumzeit-podcast.de/2011/12/16/rz030-cassini-huygens/,1000161084681,2011-12-16T09:00:37Z,done,apple,2026-06-16T10:41:29+00:00
31,RZ031 DLR_School_Labs,https://raumzeit-podcast.de/2012/02/10/rz031-dlr_school_labs/,1000161084654,2012-02-10T09:00:42Z,done,apple,2026-06-16T10:41:29+00:00
32,RZ032 Das Saturnsystem,https://raumzeit-podcast.de/2012/02/24/rz032-das-saturnsystem/,1000161084652,2012-02-24T14:32:45Z,done,apple,2026-06-16T10:41:29+00:00
33,RZ033 Energie der Zukunft,https://raumzeit-podcast.de/2012/03/09/rz033-energie-der-zukunft/,1000161084680,2012-03-09T12:26:15Z,done,apple,2026-06-16T10:41:29+00:00
34,RZ034 Space Situational Awareness,https://raumzeit-podcast.de/2012/03/30/rz034-space-situational-awareness/,1000161084668,2012-03-30T08:20:45Z,done,apple,2026-06-16T10:41:29+00:00
35,RZ035 Technology Transfer Program,https://raumzeit-podcast.de/2012/04/13/rz035-technology-transfer-program/,1000161084648,2012-04-13T08:00:07Z,done,apple,2026-06-16T10:41:29+00:00
36,RZ036 Deutsches Raumfahrt-Kontrollzentrum,https://raumzeit-podcast.de/2012/04/27/rz036-deutsches-raumfahrt-kontrollzentrum/,1000161084672,2012-04-27T08:00:55Z,done,apple,2026-06-16T10:41:29+00:00
37,RZ037 TanDEM-X,https://raumzeit-podcast.de/2012/05/11/rz037-tandem-x/,1000161084658,2012-05-11T08:00:17Z,done,apple,2026-06-16T10:41:29+00:00
38,RZ038 Alpha-Magnet-Spektrometer,https://raumzeit-podcast.de/2012/06/01/rz038-alpha-magnet-spektrometer/,1000116271702,2012-06-01T13:18:03Z,done,podlove,2026-06-16T10:41:29+00:00
39,RZ039 Der Mond,https://raumzeit-podcast.de/2012/06/08/rz039-der-mond/,1000116616276,2012-06-08T10:15:02Z,done,apple,2026-06-16T10:41:29+00:00
40,RZ040 GOCE,https://raumzeit-podcast.de/2012/06/22/rz040-goce/,1000117217757,2012-06-22T08:00:12Z,done,apple,2026-06-16T10:41:29+00:00
41,RZ041 Envisat,https://raumzeit-podcast.de/2012/07/09/rz041-envisat/,1000117871079,2012-07-09T08:15:12Z,done,apple,2026-06-16T10:41:29+00:00
42,RZ042 Copernicus/GMES,https://raumzeit-podcast.de/2012/07/20/rz042-gmes/,1000118342774,2012-07-20T08:00:07Z,done,apple,2026-06-16T10:41:29+00:00
43,RZ043 BepiColombo,https://raumzeit-podcast.de/2012/08/03/rz043-bepicolombo/,1000161172966,2012-08-03T08:00:06Z,done,apple,2026-06-16T10:41:29+00:00
44,RZ044 Der Merkur,https://raumzeit-podcast.de/2012/08/17/rz044-der-merkur/,1000119481154,2012-08-17T08:00:59Z,done,apple,2026-06-16T10:41:29+00:00
45,RZ045 Rexus/Bexus,https://raumzeit-podcast.de/2012/08/31/rz045-rexus-bexus/,1000120051971,2012-08-31T08:00:38Z,done,apple,2026-06-16T10:41:29+00:00
46,RZ046 Venus Express,https://raumzeit-podcast.de/2012/09/20/rz046-venus-express/,1000121114431,2012-09-20T08:00:00Z,done,apple,2026-06-16T10:41:29+00:00
47,RZ047 Die Venus,https://raumzeit-podcast.de/2012/10/05/rz047-die-venus/,1000121999167,2012-10-05T08:00:56Z,done,apple,2026-06-16T10:41:29+00:00
48,RZ048 Mars Express,https://raumzeit-podcast.de/2012/10/19/rz048-mars-express/,1000122728438,2012-10-19T08:00:43Z,done,apple,2026-06-16T10:41:29+00:00
49,RZ049 Der Mars,https://raumzeit-podcast.de/2012/11/09/rz049-der-mars/,1000123749574,2012-11-09T09:00:54Z,done,apple,2026-06-16T10:41:29+00:00
50,RZ050 Humanoide Robotik,https://raumzeit-podcast.de/2012/12/07/rz050-humanoide-robotik/,1000126097994,2012-12-07T09:46:04Z,done,apple,2026-06-16T10:41:29+00:00
51,RZ051 XMM-Newton,https://raumzeit-podcast.de/2013/02/01/rz051-xmm-newton/,1000131485337,2013-02-01T09:00:06Z,done,apple,2026-06-16T10:41:29+00:00
52,RZ052 Solar Orbiter,https://raumzeit-podcast.de/2013/03/01/rz052-solar-orbiter/,1000134566648,2013-03-01T09:00:23Z,done,apple,2026-06-16T10:41:29+00:00
53,RZ053 Mythos Raumfahrt,https://raumzeit-podcast.de/2013/04/30/rz053-mythos-raumfahrt/,1000156042847,2013-04-30T11:27:15Z,done,apple,2026-06-16T10:41:29+00:00
54,RZ054 Space Elevator,https://raumzeit-podcast.de/2013/07/05/rz054-space-elevator/,1000162213847,2013-07-05T08:00:02Z,done,apple,2026-06-16T10:41:29+00:00
55,RZ055 Planck,https://raumzeit-podcast.de/2013/08/23/rz055-planck/,1000164664232,2013-08-23T08:00:30Z,done,apple,2026-06-16T10:41:29+00:00
56,RZ056 Forschung in der ISS,https://raumzeit-podcast.de/2013/09/20/rz056-forschung-in-der-iss/,1000168193240,2013-09-20T08:00:01Z,done,apple,2026-06-16T10:41:29+00:00
57,RZ057 Gaia,https://raumzeit-podcast.de/2013/12/18/rz057-gaia/,1000217477815,2013-12-18T14:06:43Z,done,apple,2026-06-16T10:41:29+00:00
58,RZ058 Philae,https://raumzeit-podcast.de/2015/06/16/rz058-philae/,1000344916182,2015-06-16T17:51:06Z,done,apple,2026-06-16T10:41:29+00:00
59,RZ059 Kleinsatelliten,https://raumzeit-podcast.de/2015/12/01/rz059-kleinsatelliten/,1000358156593,2015-12-01T14:49:36Z,done,apple,2026-06-16T10:41:29+00:00
60,RZ060 Extrasolare Planeten,https://raumzeit-podcast.de/2016/01/05/rz060-extrasolare-planeten/,1000360129700,2016-01-05T07:42:54Z,done,apple,2026-06-16T10:41:29+00:00
61,RZ061 Gravitationswellenastronomie,https://raumzeit-podcast.de/2016/02/18/rz061-gravitationswellenastronomie/,1000363162855,2016-02-18T09:00:26Z,done,apple,2026-06-16T10:41:29+00:00
62,RZ062 Albert Einstein,https://raumzeit-podcast.de/2016/05/12/rz062-albert-einstein/,1000368586400,2016-05-12T14:36:07Z,done,apple,2026-06-16T10:41:29+00:00
63,RZ063 Galaxien und Kosmologie,https://raumzeit-podcast.de/2016/09/28/rz063-galaxien-und-kosmologie/,1000375930591,2016-09-28T09:03:20Z,done,apple,2026-06-16T10:41:29+00:00
64,RZ064 ISS-Expedition 42,https://raumzeit-podcast.de/2016/10/12/rz064-iss-expedition-42/,1000376530720,2016-10-12T08:00:01Z,done,apple,2026-06-16T10:41:29+00:00
65,RZ065 Part Time Scientists,https://raumzeit-podcast.de/2016/12/17/rz065-part-time-scientists/,1000379078700,2016-12-17T22:08:18Z,done,apple,2026-06-16T10:41:29+00:00
