number,title,link,source_id,published_at,state,transcript_source,discovered_at
1,Die Nullnummer,https://audio.podigee-cdn.net/15197-m-73c6f4b88fb1da60340d66f6c0cdee27.m4a?source=feed,1000318561305,2014-09-05T17:39:44Z,done,apple,2026-06-14T18:56:02+00:00
2,Als Journalist im Wintertrainingslager,https://audio.podigee-cdn.net/15198-m-7f3ab441e625d8fd13edd207af99a07e.m4a?source=feed,1000332712364,2015-01-19T15:08:21Z,done,apple,2026-06-14T18:56:02+00:00
3,Doping im Fußball,https://audio.podigee-cdn.net/15201-m-f378ee79e3132aae039194d5fc212b38.m4a?source=feed,1000337035670,2015-03-06T08:01:25Z,done,apple,2026-06-14T18:56:02+00:00
4,Fußballpodcasts,https://audio.podigee-cdn.net/15208-m-b8613fdbf6ffe30396e59345437217c1.m4a?source=feed,1000345543884,2015-06-24T09:56:52Z,done,apple,2026-06-14T18:56:02+00:00
5,Als Blinde im Stadion,https://audio.podigee-cdn.net/15214-m-d8ae5c29caae11056a6d8cbafc57b500.m4a?source=feed,1000364643893,2016-03-11T13:10:11Z,done,apple,2026-06-14T18:56:02+00:00
6,Fußballtaktik,https://audio.podigee-cdn.net/15221-m-03f26a13a14d046d87cf759252ce930a.m4a?source=feed,1000367230592,2016-04-20T21:01:28Z,done,apple,2026-06-14T18:56:02+00:00
7,Fußball TV-Rechte,https://audio.podigee-cdn.net/15233-m-3526f9ddb3db951f539c307fcb043829.m4a?source=feed,1000368856981,2016-05-17T07:27:18Z,done,apple,2026-06-14T18:56:02+00:00
8,TV-Rechte ab 2017/18,https://audio.podigee-cdn.net/15196-m-3bcfef832c3c5019339d968cde8b4d17.m4a?source=feed,1000620749043,2016-06-09T20:21:17Z,done,apple,2026-06-14T18:56:02+00:00
9,EM-Tag 16: Mit Jogi im Rentnerparadies,https://audio.podigee-cdn.net/15223-m-8d004453cecf5273fe4ad04ee4ae35c3.m4a?source=feed,1000620748930,2016-06-25T06:11:44Z,done,apple,2026-06-14T18:56:02+00:00
10,EM-Tag 26: Die Miesmacherfolge?,https://audio.podigee-cdn.net/15240-m-afe9974a2330b0b9646839de9e7e30de.m4a?source=feed,1000620749099,2016-07-04T20:48:09Z,done,apple,2026-06-14T18:56:02+00:00
