number,title,link,source_id,published_at,state,transcript_source,discovered_at
1,UKW001 Schalke ist durchgeimpft,,6,,done,podlove,2026-06-14T00:40:23+00:00
2,UKW002 Brexit: The Deadlock,,9,,done,podlove,2026-06-14T00:40:23+00:00
3,UKW003 Brexit: Brextension,,13,,done,podlove,2026-06-14T00:40:23+00:00
4,UKW004 Brexit: God Save the Queen,,15,,done,podlove,2026-06-14T00:40:23+00:00
5,UKW005 Hong Kong,,17,,done,podlove,2026-06-14T00:40:23+00:00
6,UKW006 Brexit: Dead in a ditch,,19,,done,podlove,2026-06-14T00:40:23+00:00
7,UKW007 Hong Kong: The Showdown,,21,,done,podlove,2026-06-14T00:40:23+00:00
8,UKW008 Nach dem Brexit ist vor dem Brexit,,29,,done,podlove,2026-06-14T00:40:23+00:00
9,UKW009 Corona Lockdown,,31,,done,podlove,2026-06-14T00:40:23+00:00
10,UKW010 Corona: Ich bin Dunkelziffer,,32,,done,podlove,2026-06-14T00:40:23+00:00
11,UKW011 Corona: Die Informationssammlung des CERT,,33,,done,podlove,2026-06-14T00:40:23+00:00
12,UKW012 Corona: Hygienemaßnahmen,,34,,done,podlove,2026-06-14T00:40:23+00:00
13,UKW013 Corona: Intensivmedizin,,35,,done,podlove,2026-06-14T00:40:23+00:00
14,UKW014 Corona: Modelle und Prognosen,,36,,done,podlove,2026-06-14T00:40:23+00:00
15,UKW015: Corona: Wirtschaft in der Krise,,38,,done,podlove,2026-06-14T00:40:23+00:00
16,UKW016 Corona: Masken Berlin,,39,,done,podlove,2026-06-14T00:40:23+00:00
17,UKW017 Corona: Situation in den Schulen,,40,,done,podlove,2026-06-14T00:40:23+00:00
18,UKW018 Corona Weekly,,42,,done,podlove,2026-06-14T00:40:23+00:00
19,UKW019 Corona: Welt in Aufruhr,,43,,done,podlove,2026-06-14T00:40:23+00:00
20,UKW020 Corona Weekly: Zahlen und Apps,,44,,done,podlove,2026-06-14T00:40:23+00:00
21,UKW021 Corona Weekly: Die Christliche Logistikfunktion,,45,,done,podlove,2026-06-14T00:40:23+00:00
22,UKW022 Corona Weekly: Der oder das Virus,,46,,done,podlove,2026-06-14T00:40:23+00:00
23,"UKW023 Corona: China, Taiwan und Hong-Kong",,47,,done,podlove,2026-06-14T00:40:23+00:00
24,UKW024 Corona Weekly: Risk Assessment,,48,,done,podlove,2026-06-14T00:40:23+00:00
25,UKW025 Corona Weekly: Zombies im Bus,,49,,done,podlove,2026-06-14T00:40:23+00:00
26,UKW026 Corona: Quarano,,50,,done,podlove,2026-06-14T00:40:23+00:00
27,UKW027 Corona Weekly: Superrot und Supergrün,,51,,done,podlove,2026-06-14T00:40:23+00:00
28,UKW028 Corona Weekly: Die Hamburg-Anomalie,,52,,done,podlove,2026-06-14T00:40:23+00:00
29,UKW029 Corona Weekly: Neuer Fall nur Gestern,,53,,done,podlove,2026-06-14T00:40:23+00:00
30,UKW030 Die Corona-Warn-App,,54,,done,podlove,2026-06-14T00:40:23+00:00
31,UKW031 Brexit: Mogg Conga,,55,,done,podlove,2026-06-14T00:40:23+00:00
32,UKW032 Corona Weekly: Sensornetze und Wurmlöcher,,56,,done,podlove,2026-06-14T00:40:23+00:00
33,UKW033 Corona Weekly: Mit dem eigenen PKW durch Bayern,,57,,done,podlove,2026-06-14T00:40:23+00:00
34,UKW034 Corona Weekly: Internetkarneval,,60,,done,podlove,2026-06-14T00:40:23+00:00
35,UKW035 Corona Weekly: Grillpartys auch weiterhin nur draußen,,61,,done,podlove,2026-06-14T00:40:23+00:00
36,UKW036 Corona Weekly: Das Immunsystem ist ein militärisch-industrieller Komplex,,62,,done,podlove,2026-06-14T00:40:23+00:00
37,UKW037 Corona Weekly: Weihnachten wird&#8217;s ungemütlich,,63,,done,podlove,2026-06-14T00:40:23+00:00
38,UKW038 Corona Weekly: Neue Deutsche Welle,,64,,done,podlove,2026-06-14T00:40:23+00:00
39,UKW039 Corona: Impfstoffe,,66,,done,podlove,2026-06-14T00:40:23+00:00
40,UKW040 Corona: Pimp My CWA,,67,,done,podlove,2026-06-14T00:40:23+00:00
41,UKW041 Corona Weekly: It&#8217;s the Final Lockdown,,68,,done,podlove,2026-06-14T00:40:23+00:00
42,UKW042 Corona Weekly: Abgeordneter ist kein richtiger Beruf,,70,,done,podlove,2026-06-14T00:40:23+00:00
43,UKW043 Corona Weekly: Die Dunkelziffer bleibt im Dunkeln,,71,,done,podlove,2026-06-14T00:40:23+00:00
44,UKW044 Brexit: Breaking the Law in a Limited and Specific Way,,72,,done,podlove,2026-06-14T00:40:23+00:00
45,UKW045 Corona: Der Biontech-Impfstoff,,73,,done,podlove,2026-06-14T00:40:23+00:00
46,UKW046 Corona Weekly: Schweizer-Käse-Strategie,,74,,done,podlove,2026-06-14T00:40:23+00:00
47,UKW047 Corona Weekly: Space Karen,,76,,done,podlove,2026-06-14T00:40:23+00:00
48,UKW048 Corona Weekly: Vielleicht gibt&#8217;s ja ein Wunder,,77,,done,podlove,2026-06-14T00:40:23+00:00
49,UKW049 Corona Weekly: Schlechtes Jahr für Duftkerzen,,78,,done,podlove,2026-06-14T00:40:23+00:00
50,UKW050 Corona Weekly: Die Chewbacca-Verteidigung,,79,,done,podlove,2026-06-14T00:40:23+00:00
51,UKW051 Corona Weekly: Weihnachten ist nur ein Datum,,80,,done,podlove,2026-06-14T00:40:23+00:00
52,"UKW052 Corona Weekly: Privatpersonen, die nichts wichtiges vorhaben",,81,,done,podlove,2026-06-14T00:40:23+00:00
53,UKW053 Corona Weekly: Der Impfstoff ist &#8217;ne App,,82,,done,podlove,2026-06-14T00:40:23+00:00
54,UKW054 Corona Weekly: Erdnüsse sind schlimmer,,83,,done,podlove,2026-06-14T00:40:23+00:00
55,UKW055 Corona Weekly: Die Skeptiker wollen alle an den Strand,,84,,done,podlove,2026-06-14T00:40:23+00:00
56,UKW056 Brexit: Alle unsere Regale sind voll,,85,,done,podlove,2026-06-14T00:40:23+00:00
57,UKW057 Corona Weekly: Überbackene Fernbedienung,,86,,done,podlove,2026-06-14T00:40:23+00:00
58,UKW058 Corona Weekly: Irgendjemand muss ja das Geld verdienen,,87,,done,podlove,2026-06-14T00:40:23+00:00
59,UKW059 Corona Weekly: Zensur ist ein Beitrag zum Infektionsschutz,,88,,done,podlove,2026-06-14T00:40:23+00:00
60,UKW060 Corona Weekly: Jag den Mutanten,,89,,done,podlove,2026-06-14T00:40:23+00:00
61,UKW061 Corona Weekly: Das Virus-Prekariat,,91,,done,podlove,2026-06-14T00:40:23+00:00
62,UKW062 Corona Weekly: Mal wieder richtig Welle machen,,92,,done,podlove,2026-06-14T00:40:23+00:00
63,UKW063 Corona Weekly: So kann man sein Geld auch aus dem Fenster werfen,,93,,done,podlove,2026-06-14T00:40:23+00:00
64,UKW064 Corona Weekly: Condition Ultra,,95,,done,podlove,2026-06-14T00:40:23+00:00
65,"UKW065 Corona Weekly: Wären eigentlich gefordert zu handeln, haben uns aktuell aber anders entschieden",,96,,done,podlove,2026-06-14T00:40:23+00:00
66,UKW066 Corona Weekly: Covid dauert dieses Jahr länger,,97,,done,podlove,2026-06-14T00:40:23+00:00
67,UKW067 Corona Weekly: Nicht ganz illusionsfrei,,98,,done,podlove,2026-06-14T00:40:23+00:00
68,UKW068 Corona Weekly: Was heißt kurz? Was heißt hart?,,100,,done,podlove,2026-06-14T00:40:23+00:00
69,UKW069 Corona Weekly: Inzidenzen interessieren keine Sau,,101,,done,podlove,2026-06-14T00:40:23+00:00
70,UKW070 Corona Weekly: Bundesnotbremse Total Landscaping,,102,,done,podlove,2026-06-14T00:40:23+00:00
71,UKW071 Corona Weekly: Impftermine helfen gegen Corona,,103,,done,podlove,2026-06-14T00:40:23+00:00
72,UKW072: Corona Weekly: Geisterfahrerfreie Zone,,104,,done,podlove,2026-06-14T00:40:23+00:00
73,UKW073 Corona Weekly: Kontrolle hatten wir nie,,105,,done,podlove,2026-06-14T00:40:23+00:00
74,UKW074 Brexit: Leben von einer Lüge,,106,,done,podlove,2026-06-14T00:40:23+00:00
75,UKW075 Corona Weekly: Impfen in 3D,,107,,done,podlove,2026-06-14T00:40:23+00:00
76,"UKW076 Corona Weekly: Alles wird gut, wir wissen nur nicht warum",,108,,done,podlove,2026-06-14T00:40:23+00:00
77,UKW077 Corona Weekly: Das Schöne an der Pandemie,,109,,done,podlove,2026-06-14T00:40:23+00:00
78,UKW078 Corona Weekly: Gefühlte Fakten,,110,,done,podlove,2026-06-14T00:40:23+00:00
79,UKW079 Corona Weekly: In niedrigen Inzidenzen bräunen,,112,,done,podlove,2026-06-14T00:40:23+00:00
80,UKW080 Corona Weekly: Tempo 30 für Corona,,113,,done,podlove,2026-06-14T00:40:23+00:00
81,UKW081 Corona Weekly: Eine der besseren Fehlentscheidungen,,114,,done,podlove,2026-06-14T00:40:23+00:00
82,UKW082 Corona Weekly: Die Pandemie has jumped the shark,,116,,done,podlove,2026-06-14T00:40:23+00:00
83,"UKW083 Corona Weekly: Wir werden es verkacken, aber nicht völlig",,118,,done,podlove,2026-06-14T00:40:23+00:00
84,UKW084 Brexit: The Brexit Trilemma,,119,,done,podlove,2026-06-14T00:40:23+00:00
85,UKW085 Corona Weekly: Die meisten von uns werden es überleben,,120,,done,podlove,2026-06-14T00:40:23+00:00
86,UKW086 Corona Weekly: Obertonwelle Omikron,,121,,done,podlove,2026-06-14T00:40:23+00:00
87,UKW087 Corona Weekly: Goldene Triade,,122,,done,podlove,2026-06-14T00:40:23+00:00
88,UKW088 Corona Weekly: Pandemie ist kein Wunschkonzert,,123,,done,podlove,2026-06-14T00:40:23+00:00
89,UKW089 Corona Weekly: Der schwarze Ritter aus dem Mäuschenwald,,124,,done,podlove,2026-06-14T00:40:23+00:00
90,UKW090 Corona Weekly: Mit dem Angriff von Omikron wird das alles in Ordnung kommen,,125,,done,podlove,2026-06-14T00:40:23+00:00
91,UKW091 Corona Weekly: It&#8217;s over,,126,,done,podlove,2026-06-14T00:40:23+00:00
92,UKW092 Krieg in der Ukraine,,127,,done,podlove,2026-06-14T00:40:23+00:00
93,UKW093 Ukraine: Stellungskrieg,,129,,done,podlove,2026-06-14T00:40:23+00:00
94,UKW094 Ukraine: Taktische Wahrheit,,130,,done,podlove,2026-06-14T00:40:23+00:00
95,UKW095 Ukraine: Der Verlust des Zweifels,,131,,done,podlove,2026-06-14T00:40:23+00:00
96,UKW096 Ukraine: Weltkrieg 2.5,,132,,done,podlove,2026-06-14T00:40:23+00:00
97,UKW097 Ukraine: Er hat das Memo nicht gelesen,,137,,done,podlove,2026-06-14T00:40:23+00:00
98,UKW098 Ukraine: Der Kot des Präsidenten ist ein Staatsgeheimnis,,138,,done,podlove,2026-06-14T00:40:23+00:00
99,UKW099 Ukraine: Daneben schießen verboten,,139,,done,podlove,2026-06-14T00:40:23+00:00
100,UKW100 Brexit: Kopf unter der Decke,,140,,done,podlove,2026-06-14T00:40:23+00:00
101,UKW101 Ukraine: Die Dritte Phase,,141,,done,podlove,2026-06-14T00:40:23+00:00
102,UKW102 Ukraine: Russki Go Home,,142,,done,podlove,2026-06-14T00:40:23+00:00
103,UKW103 Ukraine: Atomkrieg nicht vor Weihnachten,,143,,done,podlove,2026-06-14T00:40:23+00:00
104,UKW104 Ukraine: Kampf ums elektromagnetische Spektrum,,144,,done,podlove,2026-06-14T00:40:23+00:00
105,UKW105 Ukraine: Menü der Grausamkeiten,,145,,done,podlove,2026-06-14T00:40:23+00:00
106,UKW106 Brexit: She was high on her own supply,,146,,done,podlove,2026-06-14T00:40:23+00:00
107,UKW107 Ukraine: Winter is coming,,148,,done,podlove,2026-06-14T00:40:23+00:00
108,UKW108 Ukraine: Banks vs. Tanks,,149,,done,podlove,2026-06-14T00:40:23+00:00
109,UKW109 Ukraine: Mentaler Einmarsch,,150,,done,podlove,2026-06-14T00:40:23+00:00
110,UKW110 Ukraine: Balance des Schreckens,,151,,done,podlove,2026-06-14T00:40:23+00:00
111,UKW111 Ukraine: Die Gegenoffensive,,152,,done,podlove,2026-06-14T00:40:23+00:00
112,UKW112 Ukraine: Abteilung für Infarkte und Defenestration,,153,,done,podlove,2026-06-14T00:40:23+00:00
113,UKW113 Ukraine: Die Denazifizierung des russischen Luftraums,,154,,done,podlove,2026-06-14T00:40:23+00:00
114,UKW114 Ukraine: Abnutzungskrieg,,155,,done,podlove,2026-06-14T00:40:23+00:00
115,UKW115 Angriff auf Israel,,156,,done,podlove,2026-06-14T00:40:23+00:00
116,UKW116 Ukraine: Tod den Hubschraubern,,157,,done,podlove,2026-06-14T00:40:23+00:00
117,UKW117 Ukraine: Die Russen haben kein Hollywood,,160,,done,podlove,2026-06-14T00:40:23+00:00
118,UKW118 Ukraine: Russisches Roulette,,161,,done,podlove,2026-06-14T00:40:23+00:00
119,UKW119 Ukraine: Aquatische Wolfsrudel,,162,,done,podlove,2026-06-14T00:40:23+00:00
120,UKW120 Ukraine: Loch im Museum,,164,,done,podlove,2026-06-14T00:40:23+00:00
121,UKW121 Ukraine: Imperiale Träume,,165,,done,podlove,2026-06-14T00:40:23+00:00
122,UKW122 Ukraine: Eskalationsmanagement,,166,,done,podlove,2026-06-14T00:40:23+00:00
123,UKW123 Brexit: He rose without a trace,,167,,done,podlove,2026-06-14T00:40:23+00:00
124,UKW124 Ukraine: One can simply walk into Mordor,,168,,done,podlove,2026-06-14T00:40:23+00:00
125,UKW125 Ukraine: Raketenbrot,,169,,done,podlove,2026-06-14T00:40:23+00:00
126,UKW126 Ukraine: Eggs Benedict an der Front,,171,,done,podlove,2026-06-14T00:40:23+00:00
